,,A00 Class BEV Sample Avg,,,,,,,,,,,,,,,,,,,,,,,
,,Electricity Cost,10161.6,10161.6,10161.6,10161.6,10161.6,10161.6,10161.6,10161.6,10161.6,10161.6,10161.6,10161.6,10161.6,10161.6,10161.6,10161.6,10161.6,10161.6,10161.6,10161.6,10161.6,10161.6,10161.6
,,Discounted Electricity Cost,10161.6,9865.631067961165,9578.282590253559,9299.303485683067,9028.449986100066,8765.485423398122,8510.180022716622,8262.310701666624,8021.66087540449,7788.020267383,7561.184725614563,7340.956044285983,7127.141790568917,6919.555136474677,6718.014695606482,6522.344364666486,6332.373169579115,6147.935116096228,5968.869044753619,5795.018490052057,5626.231543739862,5462.360722077537,5303.262836968482
,,Electricity Cost NPV,47933.267129997854,46537.15255339599,45181.70150815144,43865.7296195645,42588.087009285926,41347.65729056886,40143.3565927853,38974.13261435466,37838.96370325695,36736.85796432714,35666.852392550616,34628.01203160254,33619.429156895676,32640.22248242299,31689.536390701927,30766.540185147507,0,0,0,0,0,0,0
,,Maintenance Cost,400,,,,,,,,,,,,,,,,,,,,,,
,,Insurance cost,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500
,,Discounted Insurance Cost,3500,3398.0582524271845,3299.0856819681403,3202.9958077360584,3109.7046677049116,3019.1307453445743,2931.1948983927905,2845.820289701738,2762.932320098775,2682.458563202694,2604.328702138538,2528.474468095668,2454.8295806754063,2383.3296899761226,2313.9123203651675,2246.5168158885117,2181.0842872704,2117.5575604566993,2055.8811266569896,1996.0010938417374,1937.8651396521723,1881.422465681721,1826.6237530890494
,,Insurance cost NPV,16509.844409836296,16028.97515518087,15562.111801146475,15108.846408880074,14668.78292124279,14241.536816740572,13826.734773534536,13424.014343237413,13033.023634211082,12653.42100408843,12284.874761250901,11927.062875000876,,,,,,,,,,,
,,Annual range,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500,109500
,,Oil amount,5803.5,5803.5,5803.5,5803.5,5803.5,5803.5,5803.5,5803.5,5803.5,5803.5,5803.5,5803.5,5803.5,5803.5,5803.5,5803.5,5803.5,5803.5,5803.5,5803.5,5803.5,5803.5,5803.5
,,Oil cost,40624.5,40624.5,40624.5,40624.5,40624.5,40624.5,40624.5,40624.5,40624.5,40624.5,40624.5,40624.5,40624.5,40624.5,40624.5,40624.5,40624.5,40624.5,40624.5,40624.5,40624.5,40624.5,40624.5
,,,40624.5,39441.26213592233,38292.48751060421,37177.17234039243,36094.342078050904,35043.05056121448,34022.37918564512,33031.43610256808,32069.355439386483,31135.29654309367,30228.443245722014,29348.003151186418,28493.20694289944,27663.307711552858,26857.5803024785,26075.32068201796,25315.845322347537,24578.490604220908,23862.612237107678,23167.58469622105,22492.800675942766,21837.670559167735,21201.621902104594
,,,191629.76406496984,186048.31462618432,180629.43167590714,175368.38026787102,170260.56336686507,165301.5178319078,160486.91051641537,155812.53448195665,151274.305322288,146868.2575944544,142590.54135383922,138437.41879013518,,,,,,,,,,,
,,,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
,,,3000,2912.6213592233007,2827.787727401263,2745.4249780594787,2665.461143747067,2587.826353152492,2512.4527700509634,2439.274534030061,2368.2277029418074,2299.250197030881,2232.2817446901754,2167.2638297962867,2104.1396405789196,2042.8540199795336,1983.3534174558577,1925.585842190153,1869.500817660343,1815.0493375343137,1762.1838228488482,1710.858080435775,1661.0272625590048,1612.6478277271895,1565.6775026477567
,,,14151.29520843111,13739.1215615836,13338.952972411265,12950.439779040062,12573.24250392239,12207.031557206205,11851.486948743888,11506.298008489211,11171.16311503807,10845.789432075795,10529.892652500772,10223.196750000749,,,,,,,,,,,
